"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Filter selection should survive a full page reload via URL hash.","1796","should persist filter state on page reload","iPad Pro 11","2026-03-25","passed","2026-03-25","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
"Verifies that a todo can be marked as completed, updating its visual state.","1138","should mark a todo as completed","iPad Mini","2026-03-25","passed","2026-03-25","@management Todo Management > @smoke","todo-management.spec.ts","",""
"Leading and trailing whitespace must be stripped before saving.","1929","should trim whitespace from new todo items","iPhone 15","2026-03-25","passed","2026-03-25","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"Verifies that the ""All"" filter displays both active and completed todos.","5827","should show all todos on the All filter","iPhone 15","2026-03-25","passed","2026-03-25","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Leading and trailing whitespace must be stripped before saving.","1069","should trim whitespace from new todo items","iPad Pro 11","2026-03-25","passed","2026-03-25","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"Verifies that the ""All"" filter displays both active and completed todos.","479","should show all todos on the All filter","Galaxy S9+","2026-03-25","passed","2026-03-25","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that a todo can be marked as completed, updating its visual state.","445","should mark a todo as completed","Desktop Chrome","2026-03-25","passed","2026-03-25","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","5127","should show only active todos on the Active filter","iPhone 15","2026-03-25","passed","2026-03-25","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","1289","should show only completed todos on the Completed filter","iPhone 15","2026-03-25","passed","2026-03-25","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","509","should delete a todo item","Pixel 7","2026-03-25","passed","2026-03-25","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","970","should edit an existing todo item","iPhone SE","2026-03-25","passed","2026-03-25","@management Todo Management > @regression","todo-management.spec.ts","",""
"","1721","should show only completed todos on the Completed filter","Desktop Safari","2026-03-25","passed","2026-03-25","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
