"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Filter selection should survive a full page reload via URL hash.","1468","should persist filter state on page reload","iPad Mini","2026-06-07","passed","2026-06-07","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
"","493","should show only active todos on the Active filter","Desktop Chrome","2026-06-07","passed","2026-06-07","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","1372","should toggle all todos at once","Desktop Safari","2026-06-07","passed","2026-06-07","@management Todo Management > @regression","todo-management.spec.ts","",""
"","1716","should edit an existing todo item","Desktop Safari","2026-06-07","passed","2026-06-07","@management Todo Management > @regression","todo-management.spec.ts","",""
"","479","should edit an existing todo item","Desktop Chrome HiDPI","2026-06-07","passed","2026-06-07","@management Todo Management > @regression","todo-management.spec.ts","",""
"Filter selection should survive a full page reload via URL hash.","648","should persist filter state on page reload","Pixel 7","2026-06-07","passed","2026-06-07","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
"Leading and trailing whitespace must be stripped before saving.","645","should trim whitespace from new todo items","Desktop Firefox HiDPI","2026-06-07","passed","2026-06-07","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"","668","should show only completed todos on the Completed filter","Desktop Edge","2026-06-07","passed","2026-06-07","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","1526","should show only completed todos on the Completed filter","iPad Pro 11","2026-06-07","passed","2026-06-07","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Leading and trailing whitespace must be stripped before saving.","382","should trim whitespace from new todo items","Desktop Chrome HiDPI","2026-06-07","passed","2026-06-07","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"","461","should delete a todo item","Desktop Chrome","2026-06-07","passed","2026-06-07","@management Todo Management > @smoke","todo-management.spec.ts","",""
"Verifies that a todo can be marked as completed, updating its visual state.","379","should mark a todo as completed","Desktop Chrome","2026-06-07","passed","2026-06-07","@management Todo Management > @smoke","todo-management.spec.ts","",""
"Verifies that the ""All"" filter displays both active and completed todos.","802","should show all todos on the All filter","Desktop Firefox","2026-06-07","passed","2026-06-07","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","1673","should show only completed todos on the Completed filter","Desktop Safari","2026-06-07","passed","2026-06-07","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that the ""All"" filter displays both active and completed todos.","533","should show all todos on the All filter","Pixel 7","2026-06-07","passed","2026-06-07","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that the ""All"" filter displays both active and completed todos.","1760","should show all todos on the All filter","iPad Mini","2026-06-07","passed","2026-06-07","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","487","should toggle all todos at once","Pixel 7","2026-06-07","passed","2026-06-07","@management Todo Management > @regression","todo-management.spec.ts","",""
"Verifies that the ""All"" filter displays both active and completed todos.","1057","should show all todos on the All filter","iPhone SE","2026-06-07","passed","2026-06-07","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that a todo can be marked as completed, updating its visual state.","1616","should mark a todo as completed","iPhone 15","2026-06-07","passed","2026-06-07","@management Todo Management > @smoke","todo-management.spec.ts","",""
"Verifies that the ""All"" filter displays both active and completed todos.","561","should show all todos on the All filter","Galaxy S9+","2026-06-07","passed","2026-06-07","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","549","should delete a todo item","Pixel 7","2026-06-07","passed","2026-06-07","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","484","should show only completed todos on the Completed filter","Desktop Chrome HiDPI","2026-06-07","passed","2026-06-07","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Filter selection should survive a full page reload via URL hash.","1117","should persist filter state on page reload","Desktop Firefox","2026-06-07","passed","2026-06-07","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
"Verifies that a user can create a new todo item successfully.","856","should add a single todo item","iPad Mini","2026-06-07","passed","2026-06-07","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","1286","should toggle all todos at once","iPad Pro 11","2026-06-07","passed","2026-06-07","@management Todo Management > @regression","todo-management.spec.ts","",""
"Leading and trailing whitespace must be stripped before saving.","366","should trim whitespace from new todo items","Pixel 7","2026-06-07","passed","2026-06-07","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"","2939","should show only active todos on the Active filter","Desktop Firefox HiDPI","2026-06-07","passed","2026-06-07","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","1568","should delete a todo item","Desktop Safari","2026-06-07","passed","2026-06-07","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","890","should clear all completed todos","iPhone 15","2026-06-07","passed","2026-06-07","@management Todo Management > @regression","todo-management.spec.ts","",""
"Verifies that a todo can be marked as completed, updating its visual state.","1225","should mark a todo as completed","iPad Pro 11","2026-06-07","passed","2026-06-07","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","882","should delete a todo item","Desktop Firefox HiDPI","2026-06-07","passed","2026-06-07","@management Todo Management > @smoke","todo-management.spec.ts","",""
"Leading and trailing whitespace must be stripped before saving.","996","should trim whitespace from new todo items","iPhone SE","2026-06-07","passed","2026-06-07","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"Verifies that a user can create a new todo item successfully.","866","should add a single todo item","iPhone 15","2026-06-07","passed","2026-06-07","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","482","should toggle all todos at once","Galaxy S9+","2026-06-07","passed","2026-06-07","@management Todo Management > @regression","todo-management.spec.ts","",""
"","818","should show only completed todos on the Completed filter","Desktop Firefox","2026-06-07","passed","2026-06-07","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","1005","should clear all completed todos","Desktop Firefox HiDPI","2026-06-07","passed","2026-06-07","@management Todo Management > @regression","todo-management.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","2857","should add multiple todo items","Desktop Firefox","2026-06-07","passed","2026-06-07","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","2049","should edit an existing todo item","iPhone 15 Pro Max","2026-06-07","passed","2026-06-07","@management Todo Management > @regression","todo-management.spec.ts","",""
"","996","should delete a todo item","iPhone SE","2026-06-07","passed","2026-06-07","@management Todo Management > @smoke","todo-management.spec.ts","",""
"Filter selection should survive a full page reload via URL hash.","704","should persist filter state on page reload","Desktop Edge","2026-06-07","passed","2026-06-07","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
