"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","435","should toggle all todos at once","Desktop Chrome HiDPI","2026-05-23","passed","2026-05-23","@management Todo Management > @regression","todo-management.spec.ts","",""
"Filter selection should survive a full page reload via URL hash.","1178","should persist filter state on page reload","Desktop Firefox HiDPI","2026-05-23","passed","2026-05-23","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
"","6031","should show only active todos on the Active filter","Desktop Safari","2026-05-23","passed","2026-05-23","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","727","should edit an existing todo item","Desktop Edge","2026-05-23","passed","2026-05-23","@management Todo Management > @regression","todo-management.spec.ts","",""
"Leading and trailing whitespace must be stripped before saving.","476","should trim whitespace from new todo items","Desktop Firefox HiDPI","2026-05-23","passed","2026-05-23","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"","894","should edit an existing todo item","iPhone SE","2026-05-23","passed","2026-05-23","@management Todo Management > @regression","todo-management.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","2405","should add multiple todo items","Desktop Firefox HiDPI","2026-05-23","passed","2026-05-23","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","2107","should add multiple todo items","iPhone 15","2026-05-23","passed","2026-05-23","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","3009","should show only active todos on the Active filter","iPad Pro 11","2026-05-23","passed","2026-05-23","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","501","should delete a todo item","Desktop Chrome HiDPI","2026-05-23","passed","2026-05-23","@management Todo Management > @smoke","todo-management.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","516","should add multiple todo items","Pixel 7","2026-05-23","passed","2026-05-23","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","476","should toggle all todos at once","Pixel 7","2026-05-23","passed","2026-05-23","@management Todo Management > @regression","todo-management.spec.ts","",""
"","1101","should delete a todo item","iPad Pro 11","2026-05-23","passed","2026-05-23","@management Todo Management > @smoke","todo-management.spec.ts","",""
"Leading and trailing whitespace must be stripped before saving.","404","should trim whitespace from new todo items","Galaxy Tab S4","2026-05-23","passed","2026-05-23","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","1942","should add multiple todo items","iPad Pro 11","2026-05-23","passed","2026-05-23","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","1165","should show only completed todos on the Completed filter","iPhone 15","2026-05-23","passed","2026-05-23","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Leading and trailing whitespace must be stripped before saving.","2432","should trim whitespace from new todo items","Desktop Safari","2026-05-23","passed","2026-05-23","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"","729","should show only completed todos on the Completed filter","Desktop Firefox","2026-05-23","passed","2026-05-23","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","2395","should add multiple todo items","Desktop Firefox","2026-05-23","passed","2026-05-23","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","2153","should show only active todos on the Active filter","Desktop Firefox HiDPI","2026-05-23","passed","2026-05-23","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that a todo can be marked as completed, updating its visual state.","480","should mark a todo as completed","Pixel 7","2026-05-23","passed","2026-05-23","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","637","should not add an empty todo item","iPad Mini","2026-05-23","passed","2026-05-23","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","522","should add multiple todo items","Desktop Chrome HiDPI","2026-05-23","passed","2026-05-23","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","514","should edit an existing todo item","Galaxy S9+","2026-05-23","passed","2026-05-23","@management Todo Management > @regression","todo-management.spec.ts","",""
"","634","should not add an empty todo item","Desktop Firefox","2026-05-23","passed","2026-05-23","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"","785","should edit an existing todo item","Desktop Firefox HiDPI","2026-05-23","passed","2026-05-23","@management Todo Management > @regression","todo-management.spec.ts","",""
