"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1326","should show only completed todos on the Completed filter","iPad Mini","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that a todo can be marked as completed, updating its visual state.","1360","should mark a todo as completed","Desktop Safari","2026-04-29","passed","2026-04-29","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","500","should toggle all todos at once","Galaxy S9+","2026-04-29","passed","2026-04-29","@management Todo Management > @regression","todo-management.spec.ts","",""
"Verifies that the ""All"" filter displays both active and completed todos.","7123","should show all todos on the All filter","iPhone 15","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","2697","should edit an existing todo item","Desktop Firefox","2026-04-29","passed","2026-04-29","@management Todo Management > @regression","todo-management.spec.ts","",""
"Filter selection should survive a full page reload via URL hash.","679","should persist filter state on page reload","Galaxy Tab S4","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
"","5430","should show only active todos on the Active filter","iPhone 15","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","391","should not add an empty todo item","Galaxy Tab S4","2026-04-29","passed","2026-04-29","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"Leading and trailing whitespace must be stripped before saving.","792","should trim whitespace from new todo items","iPad Mini","2026-04-29","passed","2026-04-29","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"Filter selection should survive a full page reload via URL hash.","665","should persist filter state on page reload","Galaxy S9+","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
"Verifies that a user can create a new todo item successfully.","2530","should add a single todo item","Desktop Firefox","2026-04-29","passed","2026-04-29","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"Verifies that the ""All"" filter displays both active and completed todos.","582","should show all todos on the All filter","Pixel 7","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","1334","should edit an existing todo item","Desktop Safari","2026-04-29","passed","2026-04-29","@management Todo Management > @regression","todo-management.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","1946","should add multiple todo items","iPad Pro 11","2026-04-29","passed","2026-04-29","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"Verifies that a todo can be marked as completed, updating its visual state.","919","should mark a todo as completed","iPhone SE","2026-04-29","passed","2026-04-29","@management Todo Management > @smoke","todo-management.spec.ts","",""
"Verifies that a todo can be marked as completed, updating its visual state.","492","should mark a todo as completed","Galaxy S9+","2026-04-29","passed","2026-04-29","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","888","should toggle all todos at once","Desktop Firefox HiDPI","2026-04-29","passed","2026-04-29","@management Todo Management > @regression","todo-management.spec.ts","",""
"","529","should delete a todo item","Galaxy Tab S4","2026-04-29","passed","2026-04-29","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","540","should delete a todo item","Desktop Chrome HiDPI","2026-04-29","passed","2026-04-29","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","1149","should edit an existing todo item","iPhone SE","2026-04-29","passed","2026-04-29","@management Todo Management > @regression","todo-management.spec.ts","",""
"Verifies that the ""All"" filter displays both active and completed todos.","522","should show all todos on the All filter","Galaxy Tab S4","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","1256","should not add an empty todo item","iPhone 15","2026-04-29","passed","2026-04-29","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"","1061","should delete a todo item","iPhone SE","2026-04-29","passed","2026-04-29","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","4087","should delete a todo item","Desktop Firefox","2026-04-29","passed","2026-04-29","@management Todo Management > @smoke","todo-management.spec.ts","",""
"Verifies that the ""All"" filter displays both active and completed todos.","778","should show all todos on the All filter","Desktop Firefox","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","1428","should toggle all todos at once","iPad Mini","2026-04-29","passed","2026-04-29","@management Todo Management > @regression","todo-management.spec.ts","",""
"","1191","should edit an existing todo item","iPhone 15","2026-04-29","passed","2026-04-29","@management Todo Management > @regression","todo-management.spec.ts","",""
"","576","should show only completed todos on the Completed filter","Galaxy S9+","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Filter selection should survive a full page reload via URL hash.","1492","should persist filter state on page reload","iPad Pro 11","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
"","1159","should show only completed todos on the Completed filter","iPhone SE","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","1258","should delete a todo item","iPad Mini","2026-04-29","passed","2026-04-29","@management Todo Management > @smoke","todo-management.spec.ts","",""
"Filter selection should survive a full page reload via URL hash.","575","should persist filter state on page reload","Desktop Chrome","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
"","571","should not add an empty todo item","Desktop Edge","2026-04-29","passed","2026-04-29","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"Verifies that a todo can be marked as completed, updating its visual state.","1257","should mark a todo as completed","iPad Pro 11","2026-04-29","passed","2026-04-29","@management Todo Management > @smoke","todo-management.spec.ts","",""
"","699","should show only completed todos on the Completed filter","Desktop Edge","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","539","should delete a todo item","Galaxy S9+","2026-04-29","passed","2026-04-29","@management Todo Management > @smoke","todo-management.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","744","should add multiple todo items","Galaxy S9+","2026-04-29","passed","2026-04-29","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","548","should clear all completed todos","Desktop Chrome HiDPI","2026-04-29","passed","2026-04-29","@management Todo Management > @regression","todo-management.spec.ts","",""
"","867","should edit an existing todo item","Desktop Firefox HiDPI","2026-04-29","passed","2026-04-29","@management Todo Management > @regression","todo-management.spec.ts","",""
"","527","should clear all completed todos","Pixel 7","2026-04-29","passed","2026-04-29","@management Todo Management > @regression","todo-management.spec.ts","",""
"","535","should clear all completed todos","Galaxy Tab S4","2026-04-29","passed","2026-04-29","@management Todo Management > @regression","todo-management.spec.ts","",""
"","1628","should show only completed todos on the Completed filter","Desktop Safari","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","1676","should show only completed todos on the Completed filter","iPad Pro 11","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"","1493","should show only active todos on the Active filter","iPad Mini","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Verifies that a user can create a new todo item successfully.","3776","should add a single todo item","iPhone 15 Pro Max","2026-04-29","passed","2026-04-29","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","4112","should add multiple todo items","iPhone 15 Pro Max","2026-04-29","passed","2026-04-29","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","1236","should show only completed todos on the Completed filter","iPhone 15","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
"Filter selection should survive a full page reload via URL hash.","2376","should persist filter state on page reload","iPhone 15 Pro Max","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @regression","todo-filtering.spec.ts","",""
"","470","should not add an empty todo item","Galaxy S9+","2026-04-29","passed","2026-04-29","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"","705","should not add an empty todo item","iPhone SE","2026-04-29","passed","2026-04-29","@creation Todo Creation > @edge-case","todo-creation.spec.ts","",""
"Verifies that multiple todo items can be added sequentially.","565","should add multiple todo items","Desktop Chrome","2026-04-29","passed","2026-04-29","@creation Todo Creation > @smoke","todo-creation.spec.ts","",""
"","2668","should show only completed todos on the Completed filter","Desktop Firefox HiDPI","2026-04-29","passed","2026-04-29","@filter Todo Filtering > @smoke","todo-filtering.spec.ts","",""
